sim,sourceX,sourceY,targetX,targetY
1,2009-2011,Topic-Front-2,2012-2014,Topic-Front-2
1,2012-2014,Topic-Front-2,2015-2017,Topic-Front-2
1,2000-2002,Topic-Front-3,2003-2005,Topic-Front-3
1,2009-2011,Topic-Front-3,2012-2014,Topic-Front-3
1,2003-2005,Topic-Front-3,2006-2008,Topic-Front-3
1,2006-2008,Topic-Front-3,2009-2011,Topic-Front-3
1,2012-2014,Topic-Front-3,2015-2017,Topic-Front-3
1,2000-2002,Topic-Front-4,2003-2005,Topic-Front-4
1,2012-2014,Topic-Front-4,2015-2017,Topic-Front-4
1,2003-2005,Topic-Front-4,2006-2008,Topic-Front-4
1,2006-2008,Topic-Front-4,2009-2011,Topic-Front-4
1,2009-2011,Topic-Front-4,2012-2014,Topic-Front-4
1,2009-2011,Topic-Trans-0,2012-2014,Topic-Trans-0
1,2006-2008,Topic-Trans-0,2009-2011,Topic-Trans-0
1,2012-2014,Topic-Trans-0,2015-2017,Topic-Trans-0
1,2003-2005,Topic-Trans-0,2006-2008,Topic-Trans-0
1,2000-2002,Topic-Trans-0,2003-2005,Topic-Trans-0
1,2009-2011,Topic-Trans-1,2012-2014,Topic-Trans-1
1,2012-2014,Topic-Trans-1,2015-2017,Topic-Trans-1
1,2000-2002,Topic-Trans-1,2003-2005,Topic-Trans-1
1,2006-2008,Topic-Trans-1,2009-2011,Topic-Trans-1
1,2003-2005,Topic-Trans-1,2006-2008,Topic-Trans-1
1,2000-2002,Topic-Trans-2,2003-2005,Topic-Trans-2
1,2009-2011,Topic-Trans-2,2012-2014,Topic-Trans-2
1,2006-2008,Topic-Trans-2,2009-2011,Topic-Trans-2
1,2003-2005,Topic-Trans-2,2006-2008,Topic-Trans-2
1,2012-2014,Topic-Trans-2,2015-2017,Topic-Trans-2
1,2012-2014,Topic-Trans-3,2015-2017,Topic-Trans-3
1,2000-2002,Topic-Trans-3,2003-2005,Topic-Trans-3
1,2006-2008,Topic-Trans-3,2009-2011,Topic-Trans-3
1,2003-2005,Topic-Trans-3,2006-2008,Topic-Trans-3
1,2009-2011,Topic-Trans-3,2012-2014,Topic-Trans-3
1,2009-2011,Topic-Trans-4,2012-2014,Topic-Trans-4
1,2006-2008,Topic-Trans-4,2009-2011,Topic-Trans-4
1,2012-2014,Topic-Trans-4,2015-2017,Topic-Trans-4
1,2003-2005,Topic-Trans-4,2006-2008,Topic-Trans-4
1,2000-2002,Topic-Trans-4,2003-2005,Topic-Trans-4
